序號,學科術語,參考解釋,第1階段,第2階段,第3階段,第4階段,第5階段,臺灣台語詞彙,臺羅
100001,110,臺灣內政部警政救助諮詢專線，24小時接受民眾報案，包含交通事件、為民服務、治安事件及災害事件等，皆能立即派遣線上警力，迅速到場處理。,社會-生活課程 自然科學-生活課程 藝術-生活課程 綜合活動-生活課程,社會-社會 綜合活動-綜合活動,綜合活動-綜合活動 健康與體育-健康與體育,社會-公民與社會 健康與體育-健康教育,,110,it it khòng
100002,119,臺灣內政部消防署火災及召喚救護車的緊急事故報案電話。,社會-生活課程 自然科學-生活課程 藝術-生活課程 綜合活動-生活課程,綜合活動-綜合活動,綜合活動-綜合活動,健康與體育-健康教育,,119,it it kiú
100003,165,臺灣內政部警政署反詐騙諮詢專線電話。,社會-生活課程 自然科學-生活課程 藝術-生活課程 綜合活動-生活課程,,社會、綜合活動,,,165,it lio̍k ngóo
100004,24時制,指計算時間的方式。規則是把每日由子夜─午夜共分為24個小時，從數字0─23（24是每日完結的午夜）。,數學-數學,數學-數學,,,,24小時制,jī-sì sió-sî-tsè jī-tsa̍p-sì sió-sî-tsè
100005,5W1H,敘事時用以掌握事情發生的六個要素，即Who（什麼人物）、What（什麼事情）、When（什麼時間）、Where（什麼地方）、Why（什麼原因）、How（事件經過）。,,語文-國語文,,,,5W1H,gōo-W-tsi̍t-H
100006,AB邊,在圖形中，A點與B點連成的直線稱為「AB邊」。,數學-數學,,,,,AB邊,AB-pinn
100007,a小調音階,以La（A）音開始的排列方式a小調音階。,,,藝術-藝術,,,a小調音階,a sió-tiāu im-kai
100008,C大調,C大調（C Major）是一個於C音開始的音樂的自然大調，組成的音有C，D，E，F，G，A，B，是一個沒有升號和降號的調。,,藝術-藝術,,藝術-音樂,,C大調,C tuā-tiāu
100009,e化世界,數位化、電子化的世界。,,,社會-社會,,,電子化世界,tiān-tsú-huà sè-kài
100010,F大調,F大調是一個基於F音的大調，由F、G、A、B、C、D、E和F組成，調號有一個降號。相對小調是D小調，並行小調是F小調。,,,藝術-藝術,藝術-音樂,,F大調,F tuā-tiāu
100011,G大調音階,以G（So）音開始的排列方式，稱之為G大調音階。所有的So音都要升高半音，才能符合大調音階全音與半音的排列方式。,,藝術-藝術,,,,G大調音階,G tuā-tiāu im-kai
