hanzi,tl,frequency,poj
點,tiám,7036,tiám
掠,lia̍h,4324,lia̍h
局,kio̍k,2245,kio̍k
番,huan,2005,hoan
拖,thua,1704,thoa
列,lia̍t,1678,lia̍t
型,hîng,1100,hêng
抾,khioh,900,khioh
摃,kòng,300,kòng
捲,kńg,250,kńg
疊,tha̍h,200,tha̍h
揤,tshi̍h,150,chhi̍h
欄,nuâ,150,nôa
櫓,lóo,100,ló͘
lóo,lóo,50,ló͘
ì,ì,50,ì
埋,tâi,50,tâi
獒,ngôo,50,ngô͘
艾,hiānn,50,hiāⁿ
a-lé,a-lé,25,a-lé
bat-tah,bat-tah,25,bat-tah
bàng-gà,bàng-gà,25,bàng-gà
bá-tah,bá-tah,25,bá-tah
bé-khòng,bé-khòng,25,bé-khòng
bòo-lù,bòo-lù,25,bò͘-lù
há-khih,há-khih,25,há-khih
há-muh,há-muh,25,há-muh
hóo-tok,hóo-tok,25,hó͘-tok
ió-gà,ió-gà,25,ió-gà
khiá-tsiah,khiá-tsiah,25,khiá-chiah
khóo-pih,khóo-pih,25,khó͘-pih
luī-lóo,luī-lóo,25,lūi-ló͘
lài-tooh,lài-tooh,25,lài-to͘h
lé-tooh,lé-tooh,25,lé-to͘h
lòo-kerh,lòo-kerh,25,lò͘-kerh
lòo-suh,lòo-suh,25,lò͘-suh
lóo-tìng,lóo-tìng,25,ló͘-tèng
me-lóng,me-lóng,25,me-lóng
mài-khù,mài-khù,25,mài-khù
má-tsiah,má-tsiah,25,má-chiah
mî-im,mî-im,25,mî-im
mù-sìr,mù-sìr,25,mù-sìr
ok-sái,ok-sái,25,ok-sái
phit-tsiah,phit-tsiah,25,phit-chiah
phi̋n-phóng,phi̋n-phóng,25,phĭn-phóng
phòng-phuh,phòng-phuh,25,phòng-phuh
sa̋n-sín,sa̋n-sín,25,săn-sín
siàn-tah,siàn-tah,25,siàn-tah
siáu-uah,siáu-uah,25,siáu-oah
siò-tooh,siò-tooh,25,siò-to͘h
sà-tooh,sà-tooh,25,sà-to͘h
