hanzi,tl,frequency,poj,tl_num,poj_num,tl_notone,poj_notone,tl_abbrev,poj_abbrev
點,tiám,7036,tiám,tiam2,tiam2,tiam,tiam,,
掠,lia̍h,4324,lia̍h,liah8,liah8,liah,liah,,
局,kio̍k,2245,kio̍k,kiok8,kiok8,kiok,kiok,,
番,huan,2005,hoan,huan1,hoan1,huan,hoan,,
箍,khoo,1764,kho͘,khoo1,khoo1,khoo,khoo,,
拖,thua,1704,thoa,thua1,thoa1,thua,thoa,,
列,lia̍t,1678,lia̍t,liat8,liat8,liat,liat,,
型,hîng,1100,hêng,hing5,heng5,hing,heng,,
抾,khioh,900,khioh,khioh4,khioh4,khioh,khioh,,
摃,kòng,300,kòng,kong3,kong3,kong,kong,,
捲,kńg,250,kńg,kng2,kng2,kng,kng,,
疊,tha̍h,200,tha̍h,thah8,thah8,thah,thah,,
揤,tshi̍h,150,chhi̍h,tshih8,chhih8,tshih,chhih,,
欄,nuâ,150,nôa,nua5,noa5,nua,noa,,
寄付,kià-hù,100,kià-hù,kia3hu3,kia3hu3,kiahu,kiahu,kh,kh
櫓,lóo,100,ló͘,loo2,loo2,loo,loo,,
遊戲,iû-hì,100,iû-hì,iu5hi3,iu5hi3,iuhi,iuhi,ih,ih
野球,iá-kiû,100,iá-kiû,ia2kiu5,ia2kiu5,iakiu,iakiu,ik,ik
lóo,lóo,50,ló͘,loo2,loo2,loo,loo,,
ì,ì,50,ì,i3,i3,i,i,,
埋,tâi,50,tâi,tai5,tai5,tai,tai,,
獒,ngôo,50,ngô͘,ngoo5,ngoo5,ngoo,ngoo,,
艾,hiānn,50,hiāⁿ,hiann7,hiann7,hiann,hiann,,
OK球,ok-kiû,25,ok-kiû,ok4kiu5,ok4kiu5,okkiu,okkiu,ok,ok
a-lé,a-lé,25,a-lé,a1le2,a1le2,ale,ale,al,al
a̋m-phái,a̋m-phái,25,ăm-phái,am1phai2,am9phai2,amphai,amphai,ap,ap
bat-tah,bat-tah,25,bat-tah,bat4tah4,bat4tah4,battah,battah,bt,bt
bàn-tooh,bàn-tooh,25,bàn-to͘h,ban3tooh4,ban3tooh4,bantooh,bantooh,bt,bt
bàng-gà,bàng-gà,25,bàng-gà,bang3ga3,bang3ga3,bangga,bangga,bg,bg
bá-tah,bá-tah,25,bá-tah,ba2tah4,ba2tah4,batah,batah,bt,bt
bé-khòng,bé-khòng,25,bé-khòng,be2khong3,be2khong3,bekhong,bekhong,bk,bk
bòo-lù,bòo-lù,25,bò͘-lù,boo3lu3,boo3lu3,boolu,boolu,bl,bl
bóo-khuh,bóo-khuh,25,bó͘-khuh,boo2khuh4,boo2khuh4,bookhuh,bookhuh,bk,bk
há-khih,há-khih,25,há-khih,ha2khih4,ha2khih4,hakhih,hakhih,hk,hk
há-muh,há-muh,25,há-muh,ha2muh4,ha2muh4,hamuh,hamuh,hm,hm
hí-tooh,hí-tooh,25,hí-to͘h,hi2tooh4,hi2tooh4,hitooh,hitooh,ht,ht
hò-sù,hò-sù,25,hò-sù,ho3su3,ho3su3,hosu,hosu,hs,hs
hóo-tok,hóo-tok,25,hó͘-tok,hoo2tok4,hoo2tok4,hootok,hootok,ht,ht
ió-gà,ió-gà,25,ió-gà,io2ga3,io2ga3,ioga,ioga,ig,ig
khah-tah,khah-tah,25,khah-tah,khah4tah4,khah4tah4,khahtah,khahtah,kt,kt
khai-tián,khai-tián,25,khai-tián,khai1tian2,khai1tian2,khaitian,khaitian,kt,kt
khia̋n-sé,khia̋n-sé,25,khiăn-sé,khian1se2,khian9se2,khianse,khianse,ks,ks
khiá-tsiah,khiá-tsiah,25,khiá-chiah,khia2tsiah4,khia2chiah4,khiatsiah,khiachiah,kt,kc
khà-bah,khà-bah,25,khà-bah,kha3bah4,kha3bah4,khabah,khabah,kb,kb
khà-buh,khà-buh,25,khà-buh,kha3buh4,kha3buh4,khabuh,khabuh,kb,kb
khóo-pih,khóo-pih,25,khó͘-pih,khoo2pih4,khoo2pih4,khoopih,khoopih,kp,kp
luī-lóo,luī-lóo,25,lūi-ló͘,lui7loo2,lui7loo2,luiloo,luiloo,ll,ll
lài-tooh,lài-tooh,25,lài-to͘h,lai3tooh4,lai3tooh4,laitooh,laitooh,lt,lt
làng-nah,làng-nah,25,làng-nah,lang3nah4,lang3nah4,langnah,langnah,ln,ln
lé-tooh,lé-tooh,25,lé-to͘h,le2tooh4,le2tooh4,letooh,letooh,lt,lt
lòo-kerh,lòo-kerh,25,lò͘-kerh,loo3kerh4,loo3kerh4,lookerh,lookerh,lk,lk
lòo-suh,lòo-suh,25,lò͘-suh,loo3suh4,loo3suh4,loosuh,loosuh,ls,ls
lóo-tìng,lóo-tìng,25,ló͘-tèng,loo2ting3,loo2teng3,looting,looteng,lt,lt
me-lóng,me-lóng,25,me-lóng,me1long2,me1long2,melong,melong,ml,ml
mài-khù,mài-khù,25,mài-khù,mai3khu3,mai3khu3,maikhu,maikhu,mk,mk
má-tsiah,má-tsiah,25,má-chiah,ma2tsiah4,ma2chiah4,matsiah,machiah,mt,mc
mî-im,mî-im,25,mî-im,mi5im1,mi5im1,miim,miim,mi,mi
mù-sìr,mù-sìr,25,mù-sìr,mu3sir3,mu3sir3,musir,musir,ms,ms
ok-sái,ok-sái,25,ok-sái,ok4sai2,ok4sai2,oksai,oksai,os,os
