hanzi,tl,frequency,poj,tl_num,poj_num,tl_notone,poj_notone
點,tiám,7036,tiám,tiam2,tiam2,tiam,tiam
掠,lia̍h,4324,lia̍h,liah8,liah8,liah,liah
局,kio̍k,2245,kio̍k,kiok8,kiok8,kiok,kiok
番,huan,2005,hoan,huan1,hoan1,huan,hoan
拖,thua,1704,thoa,thua1,thoa1,thua,thoa
列,lia̍t,1678,lia̍t,liat8,liat8,liat,liat
型,hîng,1100,hêng,hing5,heng5,hing,heng
抾,khioh,900,khioh,khioh1,khioh1,khioh,khioh
摃,kòng,300,kòng,kong3,kong3,kong,kong
捲,kńg,250,kńg,kng2,kng2,kng,kng
疊,tha̍h,200,tha̍h,thah8,thah8,thah,thah
揤,tshi̍h,150,chhi̍h,tshih8,chhih8,tshih,chhih
欄,nuâ,150,nôa,nua5,noa5,nua,noa
櫓,lóo,100,ló͘,loo2,loo2,loo,loo
lóo,lóo,50,ló͘,loo2,loo2,loo,loo
ì,ì,50,ì,i3,i3,i,i
埋,tâi,50,tâi,tai5,tai5,tai,tai
獒,ngôo,50,ngô͘,ngoo5,ngoo5,ngoo,ngoo
艾,hiānn,50,hiāⁿ,hiann7,hiann7,hiann,hiann
a-lé,a-lé,25,a-lé,a1le2,a1le2,ale,ale
bat-tah,bat-tah,25,bat-tah,bat1tah1,bat1tah1,battah,battah
bàng-gà,bàng-gà,25,bàng-gà,bang3ga3,bang3ga3,bangga,bangga
bá-tah,bá-tah,25,bá-tah,ba2tah1,ba2tah1,batah,batah
bé-khòng,bé-khòng,25,bé-khòng,be2khong3,be2khong3,bekhong,bekhong
bòo-lù,bòo-lù,25,bò͘-lù,boo3lu3,boo3lu3,boolu,boolu
há-khih,há-khih,25,há-khih,ha2khih1,ha2khih1,hakhih,hakhih
há-muh,há-muh,25,há-muh,ha2muh1,ha2muh1,hamuh,hamuh
hóo-tok,hóo-tok,25,hó͘-tok,hoo2tok1,hoo2tok1,hootok,hootok
ió-gà,ió-gà,25,ió-gà,io2ga3,io2ga3,ioga,ioga
khiá-tsiah,khiá-tsiah,25,khiá-chiah,khia2tsiah1,khia2chiah1,khiatsiah,khiachiah
khóo-pih,khóo-pih,25,khó͘-pih,khoo2pih1,khoo2pih1,khoopih,khoopih
luī-lóo,luī-lóo,25,lūi-ló͘,lui7loo2,lui7loo2,luiloo,luiloo
lài-tooh,lài-tooh,25,lài-to͘h,lai3tooh1,lai3tooh1,laitooh,laitooh
lé-tooh,lé-tooh,25,lé-to͘h,le2tooh1,le2tooh1,letooh,letooh
lòo-kerh,lòo-kerh,25,lò͘-kerh,loo3kerh1,loo3kerh1,lookerh,lookerh
lòo-suh,lòo-suh,25,lò͘-suh,loo3suh1,loo3suh1,loosuh,loosuh
lóo-tìng,lóo-tìng,25,ló͘-tèng,loo2ting3,loo2teng3,looting,looteng
me-lóng,me-lóng,25,me-lóng,me1long2,me1long2,melong,melong
mài-khù,mài-khù,25,mài-khù,mai3khu3,mai3khu3,maikhu,maikhu
má-tsiah,má-tsiah,25,má-chiah,ma2tsiah1,ma2chiah1,matsiah,machiah
mî-im,mî-im,25,mî-im,mi5im1,mi5im1,miim,miim
mù-sìr,mù-sìr,25,mù-sìr,mu3sir3,mu3sir3,musir,musir
ok-sái,ok-sái,25,ok-sái,ok1sai2,ok1sai2,oksai,oksai
phit-tsiah,phit-tsiah,25,phit-chiah,phit1tsiah1,phit1chiah1,phittsiah,phitchiah
phi̋n-phóng,phi̋n-phóng,25,phĭn-phóng,phin1phong2,phin9phong2,phinphong,phinphong
phòng-phuh,phòng-phuh,25,phòng-phuh,phong3phuh1,phong3phuh1,phongphuh,phongphuh
sa̋n-sín,sa̋n-sín,25,săn-sín,san1sin2,san9sin2,sansin,sansin
siàn-tah,siàn-tah,25,siàn-tah,sian3tah1,sian3tah1,siantah,siantah
siáu-uah,siáu-uah,25,siáu-oah,siau2uah1,siau2oah1,siauuah,siauoah
siò-tooh,siò-tooh,25,siò-to͘h,sio3tooh1,sio3tooh1,siotooh,siotooh
sà-tooh,sà-tooh,25,sà-to͘h,sa3tooh1,sa3tooh1,satooh,satooh
thiàn-tòo,thiàn-tòo,25,thiàn-tò͘,thian3too3,thian3too3,thiantoo,thiantoo
tshì-sìr,tshì-sìr,25,chhì-sìr,tshi3sir3,chhi3sir3,tshisir,chhisir
tshì-sù,tshì-sù,25,chhì-sù,tshi3su3,chhi3su3,tshisu,chhisu
táng-lóo,táng-lóo,25,táng-ló͘,tang2loo2,tang2loo2,tangloo,tangloo
tōo-né,tōo-né,25,tō͘-né,too7ne2,too7ne2,toone,toone
uá-hòo,uá-hòo,25,óa-hò͘,ua2hoo3,oa2hoo3,uahoo,oahoo
䖙捒,the-sak,25,the-sak,the1sak1,the1sak1,thesak,thesak
一勝,it-sìng,25,it-sèng,it1sing3,it1seng3,itsing,itseng
三殺,sann-sat,25,saⁿ-sat,sann1sat1,sann1sat1,sannsat,sannsat
上壘,tsiūnn-luí,25,chiūⁿ-lúi,tsiunn7lui2,chiunn7lui2,tsiunnlui,chiunnlui
上籃,tsiūnn-nâ,25,chiūⁿ-nâ,tsiunn7na5,chiunn7na5,tsiunnna,chiunnna
下載,hā-tsài,25,hā-chài,ha7tsai3,ha7chai3,hatsai,hachai
並枕,phīng-tsím,25,phēng-chím,phing7tsim2,pheng7chim2,phingtsim,phengchim
