hanzi,tl,frequency,poj,tl_num,poj_num
點,tiám,7036,tiám,tiam2,tiam2
掠,lia̍h,4324,lia̍h,liah8,liah8
局,kio̍k,2245,kio̍k,kiok8,kiok8
番,huan,2005,hoan,huan1,hoan1
箍,khoo,1764,kho͘,khoo1,khoo1
拖,thua,1704,thoa,thua1,thoa1
列,lia̍t,1678,lia̍t,liat8,liat8
型,hîng,1100,hêng,hing5,heng5
抾,khioh,900,khioh,khioh4,khioh4
摃,kòng,300,kòng,kong3,kong3
捲,kńg,250,kńg,kng2,kng2
疊,tha̍h,200,tha̍h,thah8,thah8
揤,tshi̍h,150,chhi̍h,tshih8,chhih8
欄,nuâ,150,nôa,nua5,noa5
寄付,kià-hù,100,kià-hù,kia3hu3,kia3hu3
櫓,lóo,100,ló͘,loo2,loo2
遊戲,iû-hì,100,iû-hì,iu5hi3,iu5hi3
野球,iá-kiû,100,iá-kiû,ia2kiu5,ia2kiu5
lóo,lóo,50,ló͘,loo2,loo2
ì,ì,50,ì,i3,i3
埋,tâi,50,tâi,tai5,tai5
獒,ngôo,50,ngô͘,ngoo5,ngoo5
艾,hiānn,50,hiāⁿ,hiann7,hiann7
OK球,ok-kiû,25,ok-kiû,ok4kiu5,ok4kiu5
a-lé,a-lé,25,a-lé,a1le2,a1le2
a̋m-phái,a̋m-phái,25,ăm-phái,am1phai2,am9phai2
bat-tah,bat-tah,25,bat-tah,bat4tah4,bat4tah4
bàn-tooh,bàn-tooh,25,bàn-to͘h,ban3tooh4,ban3tooh4
bàng-gà,bàng-gà,25,bàng-gà,bang3ga3,bang3ga3
bá-tah,bá-tah,25,bá-tah,ba2tah4,ba2tah4
bé-khòng,bé-khòng,25,bé-khòng,be2khong3,be2khong3
bòo-lù,bòo-lù,25,bò͘-lù,boo3lu3,boo3lu3
bóo-khuh,bóo-khuh,25,bó͘-khuh,boo2khuh4,boo2khuh4
há-khih,há-khih,25,há-khih,ha2khih4,ha2khih4
há-muh,há-muh,25,há-muh,ha2muh4,ha2muh4
hí-tooh,hí-tooh,25,hí-to͘h,hi2tooh4,hi2tooh4
hò-sù,hò-sù,25,hò-sù,ho3su3,ho3su3
hóo-tok,hóo-tok,25,hó͘-tok,hoo2tok4,hoo2tok4
ió-gà,ió-gà,25,ió-gà,io2ga3,io2ga3
khah-tah,khah-tah,25,khah-tah,khah4tah4,khah4tah4
khai-tián,khai-tián,25,khai-tián,khai1tian2,khai1tian2
khia̋n-sé,khia̋n-sé,25,khiăn-sé,khian1se2,khian9se2
khiá-tsiah,khiá-tsiah,25,khiá-chiah,khia2tsiah4,khia2chiah4
khà-bah,khà-bah,25,khà-bah,kha3bah4,kha3bah4
khà-buh,khà-buh,25,khà-buh,kha3buh4,kha3buh4
khóo-pih,khóo-pih,25,khó͘-pih,khoo2pih4,khoo2pih4
luī-lóo,luī-lóo,25,lūi-ló͘,lui7loo2,lui7loo2
lài-tooh,lài-tooh,25,lài-to͘h,lai3tooh4,lai3tooh4
làng-nah,làng-nah,25,làng-nah,lang3nah4,lang3nah4
lé-tooh,lé-tooh,25,lé-to͘h,le2tooh4,le2tooh4
lòo-kerh,lòo-kerh,25,lò͘-kerh,loo3kerh4,loo3kerh4
lòo-suh,lòo-suh,25,lò͘-suh,loo3suh4,loo3suh4
lóo-tìng,lóo-tìng,25,ló͘-tèng,loo2ting3,loo2teng3
me-lóng,me-lóng,25,me-lóng,me1long2,me1long2
mài-khù,mài-khù,25,mài-khù,mai3khu3,mai3khu3
má-tsiah,má-tsiah,25,má-chiah,ma2tsiah4,ma2chiah4
mî-im,mî-im,25,mî-im,mi5im1,mi5im1
mù-sìr,mù-sìr,25,mù-sìr,mu3sir3,mu3sir3
ok-sái,ok-sái,25,ok-sái,ok4sai2,ok4sai2
phit-tsiah,phit-tsiah,25,phit-chiah,phit4tsiah4,phit4chiah4
phi̋n-phóng,phi̋n-phóng,25,phĭn-phóng,phin1phong2,phin9phong2
phòng-phuh,phòng-phuh,25,phòng-phuh,phong3phuh4,phong3phuh4
sa̋n-sín,sa̋n-sín,25,săn-sín,san1sin2,san9sin2
siat-tooh,siat-tooh,25,siat-to͘h,siat4tooh4,siat4tooh4
siàn-tah,siàn-tah,25,siàn-tah,sian3tah4,sian3tah4
siáu-uah,siáu-uah,25,siáu-oah,siau2uah4,siau2oah4
siò-tooh,siò-tooh,25,siò-to͘h,sio3tooh4,sio3tooh4
siù-tooh,siù-tooh,25,siù-to͘h,siu3tooh4,siu3tooh4
sà-tooh,sà-tooh,25,sà-to͘h,sa3tooh4,sa3tooh4
sè-hù,sè-hù,25,sè-hù,se3hu3,se3hu3
sìn-khah,sìn-khah,25,sìn-khah,sin3khah4,sin3khah4
thiàn-tòo,thiàn-tòo,25,thiàn-tò͘,thian3too3,thian3too3
thá-guh,thá-guh,25,thá-guh,tha2guh4,tha2guh4
tshì-sìr,tshì-sìr,25,chhì-sìr,tshi3sir3,chhi3sir3
tshì-sù,tshì-sù,25,chhì-sù,tshi3su3,chhi3su3
tsit-puh,tsit-puh,25,chit-puh,tsit4puh4,chit4puh4
táng-lóo,táng-lóo,25,táng-ló͘,tang2loo2,tang2loo2
tōo-né,tōo-né,25,tō͘-né,too7ne2,too7ne2
uá-hòo,uá-hòo,25,óa-hò͘,ua2hoo3,oa2hoo3
è-sìr,è-sìr,25,è-sìr,e3sir3,e3sir3
é-lah,é-lah,25,é-lah,e2lah4,e2lah4
òo-tah,òo-tah,25,ò͘-tah,oo3tah4,oo3tah4
䆀球,bái-kiû,25,bái-kiû,bai2kiu5,bai2kiu5
䖙捒,the-sak,25,the-sak,the1sak4,the1sak4
一勝,it-sìng,25,it-sèng,it4sing3,it4seng3
一塊,tsi̍t-tè,25,chi̍t-tè,tsit8te3,chit8te3
一軍,it-kun,25,it-kun,it4kun1,it4kun1
三塊,sann-tè,25,saⁿ-tè,sann1te3,sann1te3
三殺,sam-sat,25,sam-sat,sam1sat4,sam1sat4
上壘,tsiūnn-luí,25,chiūⁿ-lúi,tsiunn7lui2,chiunn7lui2
上籃,tsiūnn-nâ,25,chiūⁿ-nâ,tsiunn7na5,chiunn7na5
下載,hā-tsài,25,hā-chài,ha7tsai3,ha7chai3
並枕,phīng-tsím,25,phēng-chím,phing7tsim2,pheng7chim2
中場,tiong-tiûnn,25,tiong-tiûⁿ,tiong1tiunn5,tiong1tiunn5
中子,tiong-jí,25,tiong-jí,tiong1ji2,tiong1ji2
中子,tiong-lí,25,tiong-lí,tiong1li2,tiong1li2
中線,tiong-suànn,25,tiong-sòaⁿ,tiong1suann3,tiong1soann3
中鋒,tiong-hong,25,tiong-hong,tiong1hong1,tiong1hong1
主審,tsú-sím,25,chú-sím,tsu2sim2,chu2sim2
乳液,jú-i̍k,25,jú-e̍k,ju2ik8,ju2ek8
乳液,lú-i̍k,25,lú-e̍k,lu2ik8,lu2ek8
二軍,jī-kun,25,jī-kun,ji7kun1,ji7kun1
二軍,lī-kun,25,lī-kun,li7kun1,li7kun1
人熊,lâng-hîm,25,lâng-hîm,lang5him5,lang5him5
人陣,lâng-tīn,25,lâng-tīn,lang5tin7,lang5tin7
介面,kài-bīn,25,kài-bīn,kai3bin7,kai3bin7
仙楂,sian-tsa,25,sian-cha,sian1tsa1,sian1cha1
代打,tāi-tánn,25,tāi-táⁿ,tai7tann2,tai7tann2
代走,tāi-tsáu,25,tāi-cháu,tai7tsau2,tai7chau2
低球,kē-kiû,25,kē-kiû,ke7kiu5,ke7kiu5
侵蝕,tshim-si̍t,25,chhim-si̍t,tshim1sit8,chhim1sit8
俗麭,sio̍k-pháng,25,sio̍k-pháng,siok8phang2,siok8phang2
保溼,pó-sip,25,pó-sip,po2sip4,po2sip4
保送,pó-sàng,25,pó-sàng,po2sang3,po2sang3
修容,siu-iông,25,siu-iông,siu1iong5,siu1iong5
倒子,tò-jí,25,tò-jí,to3ji2,to3ji2
倒子,tò-lí,25,tò-lí,to3li2,to3li2
