hanzi,tl,poj,frequency,is_variant,kautian,taigitv,itaigi,sitbut,taihoa,taijit,kungge,stti,khpoo
也是,iā sī,iā sī,702,False,True,False,False,False,True,False,False,False,False
也是,ā sī,ā sī,351,False,True,False,False,False,False,True,False,False,False
上好,siōng hó,siōng hó,100,False,True,False,False,False,False,True,False,False,False
無仝,bô kâng,bô kâng,100,False,True,False,False,False,True,False,False,False,False
無愛,bô ài,bô ài,100,False,True,False,False,False,True,False,False,False,False
無要緊,bô iàu-kín,bô iàu-kín,100,False,True,False,False,False,True,True,False,False,False
袂使,buē sái,bōe sái,100,False,True,False,False,False,False,False,False,False,False
無去,bô khì,bô khì,25,False,True,False,False,False,True,True,False,False,False
獻計,hiàn kè,hiàn kè,25,False,True,False,False,False,True,False,False,False,False
煎茶,tsuann tê,choaⁿ tê,25,False,True,False,False,False,True,True,False,False,False
無愛,bôr ài,bôr ài,25,False,True,False,False,False,False,False,False,False,False
灌風,kuàn hong,koàn hong,25,False,True,False,False,False,True,True,False,False,False
無仝,bô kāng,bô kāng,25,False,True,False,True,False,False,False,False,False,False
炊粿,tshue kué,chhoe kóe,25,False,True,False,True,False,False,False,False,False,False
炊粿,tshe ké,chhe ké,25,False,True,False,False,False,False,True,False,False,False
生癬,sinn sián,siⁿ sián,25,False,True,False,False,False,False,True,False,False,False
生癬,senn sián,seⁿ sián,25,False,True,False,False,False,True,False,False,False,False
盍有,khah ū,khah ū,25,False,True,False,False,False,False,False,False,False,False
痟話,siáu uē,siáu ōe,25,False,True,False,False,False,True,False,False,False,False
瘦田,sán tshân,sán chhân,25,False,True,False,False,False,True,True,False,False,False
盍會,khah ē,khah ē,25,False,True,False,False,False,False,False,False,False,False
濺水,tsuānn tsuí,chōaⁿ chúi,25,False,True,False,False,False,False,False,False,False,False
破柴,phuà tshâ,phòa chhâ,25,False,True,False,True,False,True,True,False,False,False
筊窟,kiáu khut,kiáu khut,25,False,True,False,False,False,False,False,False,False,False
簽約,tshiam iok,chhiam iok,25,False,True,False,False,False,True,False,False,False,False
紮錢,tsah tsînn,chah chîⁿ,25,False,True,False,False,False,False,False,False,False,False
緊行,kín kiânn,kín kiâⁿ,25,False,True,False,False,False,False,True,False,False,False
縛粽,pa̍k tsàng,pa̍k chàng,25,False,True,False,True,False,True,True,False,False,False
灌腸,kuàn tn̂g,koàn tn̂g,25,False,True,False,False,False,True,True,False,False,False
漚貨,àu huè,àu hòe,25,False,True,False,False,False,False,False,False,False,False
濟歲,tsuē hè,chōe hè,25,False,True,False,False,False,False,False,False,False,False
