tl,hanzi,frequency
tio̍h,著,46783
m̄,毋,39475
koh,閣,29890
lí,你,27089
hōo,予,24836
hó,好,23707
tsiū,就,21083
teh,咧,17229
lāi,內,14406
ji̍t,日,14244
tsāi,在,14062
kang,工,12379
lāu,老,11954
bē,袂,11866
lí,理,11858
láng,攏,11219
thiann,聽,10741
tshuì,喙,9364
hong,風,9297
iánn,影,9036
leh,咧,8857
kah,甲,8530
hái,海,8273
hiān,現,6999
àm,暗,6574
thong,通,6564
miâ,名,6546
tshing,清,6424
í,已,5841
khai,開,5693
suah,煞,4845
tsí,子,4660
tik,竹,4383
sái,屎,4331
tshân,田,4120
khuân,權,3973
hūn,份,3815
pn̄g,飯,3685
kut,骨,3660
kak,角,3575
sai,師,3410
ti̍k,特,3397
thôo,塗,3339
tìn,鎮,2950
làu,落,2916
sû,詞,2871
tó,倒,2836
uá,倚,2834
pîng,爿,2834
tshuā,𤆬,2833
suí,媠,2774
kíng,景,2750
tâu,投,2494
gâu,𠢕,2377
piah,壁,2374
tsiáu,鳥,2362
kenn,經,2304
tān,但,2284
kóo,鼓,2258
ìn,印,2149
tsu,珠,2117
a,亞,2083
nńg,軟,1998
tàu,鬥,1921
tshuē,揣,1852
tsíng,整,1822
tóo,肚,1802
iù,幼,1785
phài,派,1780
ta̍h,踏,1736
kán,簡,1691
tsia,遮,1669
si̍k,熟,1569
tshî,持,1563
hián,顯,1494
bê,迷,1479
pâi,牌,1400
kiám,減,1370
siū,壽,1350
tuè,綴,1323
tè,綴,1323
kuà,掛,1299
phiàn,騙,1265
kau,溝,1206
kāu,厚,1200
kiâm,鹹,1200
pìnn,變,1154
gōng,戇,1150
tsio,招,1116
khǹg,囥,1062
thiam,添,967
tshē,坐,939
siáu,痟,850
tàu,到,825
io̍k,欲,814
tsū,聚,804
sńg,耍,779
lak,落,767
jî,而,757
lî,而,757
ping,冰,750
bū,霧,750
gíng,研,729
mài,莫,688
bōng,墓,650
tshap,插,650
gán,眼,650
pōng,磅,650
muê,糜,650
tshó,草,622
bán,挽,600
tshau,操,600
phoo,鋪,600
hia̍h,額,587
ûn,勻,550
pho,波,550
tak,觸,550
lāi,利,544
kà,較,539
âu,喉,500
sûn,巡,500
tshia,捙,500
sô,趖,500
uân,園,460
khiām,儉,450
lāng,弄,450
khàu,扣,450
thuî,槌,450
tî,池,450
hôo,胡,450
thǹg,褪,450
king,弓,400
puann,搬,400
ò,澳,400
kông,狂,400
phoh,粕,400
thinn,添,362
siunn,相,357
liông,量,356
gî,宜,350
áu,拗,350
sńg,損,350
suāinn,檨,350
sip,溼,350
suī,瑞,350
liâu,療,350
la̍p,納,350
koo,菇,350
hiau,僥,300
tsiàm,占,300
luí,壘,300
khong,康,300
tsû,慈,300
íng,湧,300
khut,窟,300
si̍t,翼,300
bông,雺,300
kí,紀,295
sut,捽,250
liap,攝,250
tsiánn,汫,250
khó,洘,250
phun,潘,250
tâm,澹,250
hu,烌,250
pān,範,250
khiû,虯,250
ham,蚶,250
thuh,黜,250
the,䖙,200
giâ,夯,200
tūn,屯,200
iā,掖,200
tshuah,掣,200
khiú,搝,200
siàn,搧,200
lám,攬,200
tháu,敨,200
î,於,200
tsú,梓,200
hâm,涵,200
