hanzi,tl,drop_reason
工業日本、農業臺灣,kang-gia̍p Ji̍t-pún、lông-gia̍p Tâi-uân,proverb
沖、褪、泡、崁、送,tshiâng、thǹg、phàu、khàm、sàng,proverb
Paiwan族鼻笛；Paiwan族鼻笛仔,Pâi-uan-tso̍k phīnn-ta̍t Pâi-uan-tso̍k phīnn-ta̍t-á,proverb
5W1H,gōo-W-tsi̍t-H,invalid_tl
AB邊,AB-pinn,invalid_tl
C大調,C tuā-tiāu,invalid_tl
F大調,F tuā-tiāu,invalid_tl
G大調音階,G tuā-tiāu im-kai,invalid_tl
LED照明,LED tsiò-bîng,invalid_tl
N極,N-ki̍k,invalid_tl
S極,S-ki̍k,invalid_tl
公里／分,kong-lí／hun,invalid_tl
印度教,Ìn-tōo-kàu͘,invalid_tl
腹肚,pak-tóo,invalid_tl
B型肝炎,B-hîng kuann-iām,invalid_tl
F大調音階,F tuā-tiāu im-kai,invalid_tl
G大調,G tuā-tiāu,invalid_tl
K他命,K tha-bīng,invalid_tl
中央C,tiong-iong Ｃ,invalid_tl
灇浴,tsâng-i̍k,invalid_tl
零星,lân-san,invalid_tl
PM2.5,PM jī tiám gōo,invalid_hanzi
火星,hué-tshenn,duplicate
註解,tsù-kái,duplicate
度晬,tōo-tsè,duplicate
水尾,tsuí-bué,duplicate
電風,tiān-hong,duplicate
大gí仔,tuā-gí-á,hanlo_mismatch
細粒mòo-tah,sè-lia̍p-mòo-tah,hanlo_mismatch
bai-óo-lín,bai-óo-lín,hanlo_mismatch
細gí仔,sè-gí-á,hanlo_mismatch
mè-sù,mè-sù,hanlo_mismatch
pha̋-siàn-tòo,pha̋-siàn-tòo,hanlo_mismatch
pha-siàn-tooh,pha-siàn-tooh,hanlo_mismatch
gu-lá-muh,gu-lá-muh,hanlo_mismatch
ga-sóo-lín,ga-sóo-lín,hanlo_mismatch
mooh-tah船,mooh-tah-tsûn,hanlo_mismatch
si-á-geh,si-á-geh,hanlo_mismatch
phi̋n-phóng,phi̋n-phóng,hanlo_mismatch
sàng-sòo,sàng-sòo,hanlo_mismatch
mòo-tà,mòo-tà,hanlo_mismatch
mí-lih,mí-lih,hanlo_mismatch
mài-kuh,mài-kuh,hanlo_mismatch
單極mòo-tah,tuann-ki̍k-mòo-tah,hanlo_mismatch
ua-lú-tsuh,ua-lú-tsuh,hanlo_mismatch
góo-lòo,góo-lòo,hanlo_mismatch
bàng-gà,bàng-gà,hanlo_mismatch
bî-tá-bín,bî-tá-bín,hanlo_mismatch
the-ní-suh,the-ní-suh,hanlo_mismatch
gí仔,gí-á,hanlo_mismatch
gí仔組,gí-á-tsoo,hanlo_mismatch
phi-á-nooh,phi-á-nooh,hanlo_mismatch
hi̍t-á,hi̍t-á,hanlo_mismatch
sa̋n-sín,sa̋n-sín,hanlo_mismatch
ba-sóng管,ba-sóng-kuán,hanlo_mismatch
ha̋n-tóo-luh,ha̋n-tóo-luh,hanlo_mismatch
àu-tsuh,àu-tsuh,hanlo_mismatch
àu-tsirh,àu-tsirh,hanlo_mismatch
hőng-mú-láng,hőng-mú-láng,hanlo_mismatch
gì-tà,gì-tà,hanlo_mismatch
iú-lih,iú-lih,hanlo_mismatch
扭著,láu--tio̍h-náu--tio̍h,hanlo_mismatch
性hoo-lú-bóng,sìng-hoo-lú-bóng,hanlo_mismatch
phe-ní-sí-lín,phe-ní-sí-lín,hanlo_mismatch
pho-lé-lóng膠,pho-lé-lóng-ka,hanlo_mismatch
oo-lín-gióo,oo-lín-gióo,hanlo_mismatch
海邊仔,hái-pinn,hanlo_mismatch
goo-lú-huh,goo-lú-huh,hanlo_mismatch
hoo-lú-bóng,hoo-lú-bóng,hanlo_mismatch
thoo-má-tooh,thoo-má-tooh,hanlo_mismatch
há-ti,há-ti,hanlo_mismatch
ió-gà,ió-gà,hanlo_mismatch
