hanzi,tl,frequency,poj,tl_num,poj_num,tl_notone,poj_notone,tl_abbrev,poj_abbrev
點,tiám,7036,tiám,tiam2,tiam2,tiam,tiam,,
掠,lia̍h,4324,lia̍h,liah8,liah8,liah,liah,,
局,kio̍k,2245,kio̍k,kiok8,kiok8,kiok,kiok,,
番,huan,2005,hoan,huan,hoan,huan,hoan,,
拖,thua,1704,thoa,thua,thoa,thua,thoa,,
列,lia̍t,1678,lia̍t,liat8,liat8,liat,liat,,
型,hîng,1100,hêng,hing5,heng5,hing,heng,,
抾,khioh,900,khioh,khioh,khioh,khioh,khioh,,
摃,kòng,300,kòng,kong3,kong3,kong,kong,,
捲,kńg,250,kńg,kng2,kng2,kng,kng,,
疊,tha̍h,200,tha̍h,thah8,thah8,thah,thah,,
揤,tshi̍h,150,chhi̍h,tshih8,chhih8,tshih,chhih,,
欄,nuâ,150,nôa,nua5,noa5,nua,noa,,
櫓,lóo,100,ló͘,loo2,loo2,loo,loo,,
lóo,lóo,50,ló͘,loo2,loo2,loo,loo,,
ì,ì,50,ì,i3,i3,i,i,,
埋,tâi,50,tâi,tai5,tai5,tai,tai,,
獒,ngôo,50,ngô͘,ngoo5,ngoo5,ngoo,ngoo,,
艾,hiānn,50,hiāⁿ,hiann7,hiann7,hiann,hiann,,
a-lé,a-lé,25,a-lé,ale2,ale2,ale,ale,al,al
bat-tah,bat-tah,25,bat-tah,battah,battah,battah,battah,bt,bt
bàng-gà,bàng-gà,25,bàng-gà,bang3ga3,bang3ga3,bangga,bangga,bg,bg
bá-tah,bá-tah,25,bá-tah,ba2tah,ba2tah,batah,batah,bt,bt
bé-khòng,bé-khòng,25,bé-khòng,be2khong3,be2khong3,bekhong,bekhong,bk,bk
bòo-lù,bòo-lù,25,bò͘-lù,boo3lu3,boo3lu3,boolu,boolu,bl,bl
há-khih,há-khih,25,há-khih,ha2khih,ha2khih,hakhih,hakhih,hk,hk
há-muh,há-muh,25,há-muh,ha2muh,ha2muh,hamuh,hamuh,hm,hm
hóo-tok,hóo-tok,25,hó͘-tok,hoo2tok,hoo2tok,hootok,hootok,ht,ht
ió-gà,ió-gà,25,ió-gà,io2ga3,io2ga3,ioga,ioga,ig,ig
khiá-tsiah,khiá-tsiah,25,khiá-chiah,khia2tsiah,khia2chiah,khiatsiah,khiachiah,kt,kc
khóo-pih,khóo-pih,25,khó͘-pih,khoo2pih,khoo2pih,khoopih,khoopih,kp,kp
luī-lóo,luī-lóo,25,lūi-ló͘,lui7loo2,lui7loo2,luiloo,luiloo,ll,ll
lài-tooh,lài-tooh,25,lài-to͘h,lai3tooh,lai3tooh,laitooh,laitooh,lt,lt
lé-tooh,lé-tooh,25,lé-to͘h,le2tooh,le2tooh,letooh,letooh,lt,lt
lòo-kerh,lòo-kerh,25,lò͘-kerh,loo3kerh,loo3kerh,lookerh,lookerh,lk,lk
lòo-suh,lòo-suh,25,lò͘-suh,loo3suh,loo3suh,loosuh,loosuh,ls,ls
lóo-tìng,lóo-tìng,25,ló͘-tèng,loo2ting3,loo2teng3,looting,looteng,lt,lt
me-lóng,me-lóng,25,me-lóng,melong2,melong2,melong,melong,ml,ml
mài-khù,mài-khù,25,mài-khù,mai3khu3,mai3khu3,maikhu,maikhu,mk,mk
má-tsiah,má-tsiah,25,má-chiah,ma2tsiah,ma2chiah,matsiah,machiah,mt,mc
mî-im,mî-im,25,mî-im,mi5im,mi5im,miim,miim,mi,mi
mù-sìr,mù-sìr,25,mù-sìr,mu3sir3,mu3sir3,musir,musir,ms,ms
ok-sái,ok-sái,25,ok-sái,oksai2,oksai2,oksai,oksai,os,os
phit-tsiah,phit-tsiah,25,phit-chiah,phittsiah,phitchiah,phittsiah,phitchiah,pt,pc
phi̋n-phóng,phi̋n-phóng,25,phĭn-phóng,phinphong2,phin9phong2,phinphong,phinphong,pp,pp
phòng-phuh,phòng-phuh,25,phòng-phuh,phong3phuh,phong3phuh,phongphuh,phongphuh,pp,pp
sa̋n-sín,sa̋n-sín,25,săn-sín,sansin2,san9sin2,sansin,sansin,ss,ss
siàn-tah,siàn-tah,25,siàn-tah,sian3tah,sian3tah,siantah,siantah,st,st
siáu-uah,siáu-uah,25,siáu-oah,siau2uah,siau2oah,siauuah,siauoah,su,so
siò-tooh,siò-tooh,25,siò-to͘h,sio3tooh,sio3tooh,siotooh,siotooh,st,st
sà-tooh,sà-tooh,25,sà-to͘h,sa3tooh,sa3tooh,satooh,satooh,st,st
thiàn-tòo,thiàn-tòo,25,thiàn-tò͘,thian3too3,thian3too3,thiantoo,thiantoo,tt,tt
tshì-sìr,tshì-sìr,25,chhì-sìr,tshi3sir3,chhi3sir3,tshisir,chhisir,ts,cs
tshì-sù,tshì-sù,25,chhì-sù,tshi3su3,chhi3su3,tshisu,chhisu,ts,cs
táng-lóo,táng-lóo,25,táng-ló͘,tang2loo2,tang2loo2,tangloo,tangloo,tl,tl
tōo-né,tōo-né,25,tō͘-né,too7ne2,too7ne2,toone,toone,tn,tn
uá-hòo,uá-hòo,25,óa-hò͘,ua2hoo3,oa2hoo3,uahoo,oahoo,uh,oh
䖙捒,the-sak,25,the-sak,thesak,thesak,thesak,thesak,ts,ts
一勝,it-sìng,25,it-sèng,itsing3,itseng3,itsing,itseng,is,is
三殺,sann-sat,25,saⁿ-sat,sannsat,sannsat,sannsat,sannsat,ss,ss
