tl,hanzi,drop_reason
Bái-kâu gâu khiàm-siàu.,䆀猴𠢕欠數。,proverb
Tsi̍t tn̄g tsha káu tshioh.,一丈差九尺。,proverb
Tsi̍t ê tsi̍t kin,一个一斤，一个十六兩。,proverb
tsi̍t ê tsa̍p-la̍k niú.,一个一斤，一个十六兩。,proverb
Tsi̍t ê lâng tsi̍t khuán miā.,一个人一款命。,proverb
Tsi̍t ê gín-á khah lāu-jia̍t sann ê tuā-lâng.,一个囡仔較鬧熱三个大人。,proverb
Tsi̍t ê bóo khah hó sann ê Thinn-kong-tsóo.,一个某較好三个天公祖。,proverb
Tsi̍t ê tsînn phah jī-tsa̍p-sì ê kat.,一个錢拍二十四个結。,proverb
Tsi̍t ê tsînn khuànn-tsò kám-ôo-á tuā.,一个錢看做𥴊壺仔大。,proverb
Tsi̍t ê tsînn,一个錢，一點血。,proverb
tsi̍t tiám hueh.,一个錢，一點血。,proverb
Tsi̍t lâng tsi̍t ke tāi,一人一家代，公媽隨人祀。,proverb
kong-má suî-lâng tshāi.,一人一家代，公媽隨人祀。,proverb
Tsi̍t lâng huân-ló tsi̍t iūnn,一人煩惱一樣，無人煩惱親像。,proverb
bô lâng huân-ló tshin-tshiūnn.,一人煩惱一樣，無人煩惱親像。,proverb
Tsi̍t lâng khuànn-tshut tsi̍t ke,一人看出一家，新婦看出大家。,proverb
sin-pū khuànn-tshut ta-ke.,一人看出一家，新婦看出大家。,proverb
It tāi tshin,一代親，二代表，三代毋捌了了。,proverb
jī tāi piáu,一代親，二代表，三代毋捌了了。,proverb
sann tāi m̄ bat liáu-liáu.,一代親，二代表，三代毋捌了了。,proverb
It kiam jī kòo,一兼二顧，摸蜊仔兼洗褲。,proverb
bong lâ-á kiam sé khòo.,一兼二顧，摸蜊仔兼洗褲。,proverb
Tsi̍t hun tsînn,一分錢，一分貨。,proverb
tsi̍t hun huè.,一分錢，一分貨。,proverb
Tsi̍t-tshing sia m̄-ta̍t peh-pah hiān.,一千賒毋值八百現。,proverb
Tsi̍t kù uē sann kak la̍k tsiam.,一句話三角六尖。,proverb
Tsi̍t tshuì kuà siang tsi̍h.,一喙掛雙舌。,proverb
Tsi̍t tshuì siang-thâu tshut.,一喙雙頭出。,proverb
Tsi̍t hó kah tsi̍t bái,一好佮一䆀，無兩好相排。,proverb
bô nn̄g hó sio-pâi.,一好佮一䆀，無兩好相排。,proverb
Tsi̍t nî uānn jī-tsa̍p-sì ê thâu-ke.,一年換二十四个頭家。,proverb
Tsi̍t nî uānn jī-sì ê thâu-ke,一年換二四个頭家，轉來食尾牙赴赴。,proverb
tńg-lâi tsia̍h bué-gê hù-hù.,一年換二四个頭家，轉來食尾牙赴赴。,proverb
Tsi̍t táu khah iânn káu tsio̍h.,一斗較贏九石。,proverb
Tsi̍t ji̍t thì-thâu,一日剃頭，三日緣投。,proverb
sann ji̍t iân-tâu.,一日剃頭，三日緣投。,proverb
Tsi̍t ji̍t suá-tsai,一日徙栽，三日徛黃。,proverb
sann ji̍t khiā-n̂g.,一日徙栽，三日徛黃。,proverb
Tsi̍t ji̍t thó-hái,一日討海，三日曝網。,proverb
sann ji̍t pha̍k bāng.,一日討海，三日曝網。,proverb
Tsi̍t ji̍t tsáu-pha-pha,一日走拋拋，一暝點燈膋。,proverb
tsi̍t mê tiám ting-lâ.,一日走拋拋，一暝點燈膋。,proverb
Tsi̍t-sî hong,一時風，一時船。,proverb
tsi̍t-sî tsûn.,一時風，一時船。,proverb
Tsi̍t-sî hong,一時風，攑一時旗。,proverb
gia̍h tsi̍t-sî kî.,一時風，攑一時旗。,proverb
Tsi̍t-sî hong,一時風，駛一時帆。,proverb
sái tsi̍t-sî phâng.,一時風，駛一時帆。,proverb
Tsi̍t-sî hong,一時風，駛一時船。,proverb
sái tsi̍t-sî tsûn.,一時風，駛一時船。,proverb
Tsi̍t mê tsuân thâu-lōo,一暝全頭路，天光無半步。,proverb
thinn-kng bô-puànn-pōo.,一暝全頭路，天光無半步。,proverb
Tsi̍t kenn sàn,一更散，二更富，三更起大厝，四更五更走袂赴。,proverb
jī kenn pù,一更散，二更富，三更起大厝，四更五更走袂赴。,proverb
sann kenn khí tuā-tshù,一更散，二更富，三更起大厝，四更五更走袂赴。,proverb
sì kenn gōo kenn tsáu bē hù.,一更散，二更富，三更起大厝，四更五更走袂赴。,proverb
Tsi̍t ki tsháu,一枝草，一點露。,proverb
tsi̍t tiám lōo.,一枝草，一點露。,proverb
Tsi̍t bóo bô lâng tsai,一某無人知，兩某相卸代。,proverb
nn̄g bóo sio-sià-tāi.,一某無人知，兩某相卸代。,proverb
Tsi̍t iūnn bí tshī pah iūnn lâng.,一樣米飼百樣人。,proverb
Tsi̍t tsâng tshài,一欉菜，一百个拜。,proverb
tsi̍t-pah ê pài.,一欉菜，一百个拜。,proverb
Tsi̍t pōo kî,一步棋，一步著。,proverb
tsi̍t pōo tio̍h.,一步棋，一步著。,proverb
Tsi̍t-pah kù,一百句，五十雙。,proverb
gōo-tsa̍p siang.,一百句，五十雙。,proverb
Tsi̍t lia̍p tshân-lê tsú káu uánn-kong thng.,一粒田螺煮九碗公湯。,proverb
Tsi̍t lia̍p bí,一粒米，百粒汗。,proverb
pah lia̍p kuānn.,一粒米，百粒汗。,proverb
Tsi̍t hīnn-khang ji̍p,一耳空入，一耳空出。,proverb
tsi̍t hīnn-khang tshut.,一耳空入，一耳空出。,proverb
Tsi̍t king tann ke,一肩擔雞，雙頭啼。,proverb
siang-thâu thî.,一肩擔雞，雙頭啼。,proverb
Tsi̍t piàn tsha̍t,一遍賊，百世賊。,proverb
pah sì tsha̍t.,一遍賊，百世賊。,proverb
Tsi̍t hiong tsi̍t sio̍k.,一鄉一俗。,proverb
It tshiân,一錢，二緣，三媠，四少年。,proverb
jī iân,一錢，二緣，三媠，四少年。,proverb
sann suí,一錢，二緣，三媠，四少年。,proverb
sì siàu-liân.,一錢，二緣，三媠，四少年。,proverb
Tsi̍t tsiah gû pak siang niá phuê.,一隻牛剝雙領皮。,proverb
Tsi̍t tsiah sat-bó pòng kah tsuí-gû tuā.,一隻蝨母嗙甲水牛大。,proverb
Tsi̍t bīn buah-piah siang bīn kng.,一面抹壁雙面光。,proverb
Tsi̍t thâu tann ke,一頭擔雞，雙頭啼。,proverb
siang-thâu thî.,一頭擔雞，雙頭啼。,proverb
Tshit--á tshiò peh--á.,七仔笑八仔。,proverb
Tshit--á khah hìng peh--á.,七仔較興八仔。,proverb
Tshit-tsa̍p huè suh ling-tshuì-á.,七十歲欶奶喙仔。,proverb
Tshit tsē peh pê káu huat-gê.,七坐八爬九發牙。,proverb
Tshit-gue̍h-puànn ah-á,七月半鴨仔，毋知死活。,proverb
m̄ tsai sí-ua̍h.,七月半鴨仔，毋知死活。,proverb
Tshit kioh hì,七腳戲，報萬兵。,proverb
pò bān ping.,七腳戲，報萬兵。,proverb
Sann lâng kāng tsi̍t sim,三人仝一心，烏塗變成金。,proverb
oo-thôo piàn-sîng kim.,三人仝一心，烏塗變成金。,proverb
Sann lâng kāng gōo ba̍k,三人共五目，日後無長短跤話。,proverb
ji̍t-āu bô tn̂g-té-kha-uē.,三人共五目，日後無長短跤話。,proverb
