hanzi,tl,frequency,poj
頭,thâu,34601,thâu
大,tuā,30086,tōa
水,tsuí,18181,chúi
年,nî,16886,nî
日,ji̍t,14244,ji̍t
工,kang,12379,kang
跤,kha,10537,kha
風,hong,9297,hong
字,jī,9159,jī
發,huat,9126,hoat
影,iánn,9036,iáⁿ
厝,tshù,8959,chhù
小,sió,8653,sió
分,hun,8581,hun
音,im,8544,im
花,hue,7690,hoe
加,ka,7091,ka
點,tiám,7036,tiám
電,tiān,6698,tiān
名,miâ,6546,miâ
度,tōo,6182,tō͘
濟,tsē,6126,chē
比,pí,5713,pí
月,gue̍h,5651,goe̍h
邊,pinn,5350,piⁿ
魚,hî,5259,hî
草,tsháu,4667,chháu
細,sè,4559,sè
長,tn̂g,4422,tn̂g
正,tsìng,4364,chèng
底,té,4318,té
田,tshân,4120,chhân
樹,tshiū,4070,chhiū
和,hô,3885,hô
詩,si,3665,si
角,kak,3575,kak
形,hîng,3419,hêng
句,kù,3378,kù
燒,sio,3369,sio
望,bōng,3218,bōng
紙,tsuá,3134,chóa
詞,sû,2871,sû
數,sòo,2832,sò͘
球,kiû,2784,kiû
光,kng,2761,kng
懸,kuân,2753,koân
差,tsha,2740,chha
雨,hōo,2449,hō͘
班,pan,2292,pan
熱,jia̍t,2275,jia̍t
鼓,kóo,2258,kó͘
批,phue,1936,phoe
圓,înn,1855,îⁿ
除,tî,1812,tî
商,siong,1750,siong
短,té,1674,té
堅,kian,1553,kian
根,kin,1550,kin
少,tsió,1505,chió
減,kiám,1370,kiám
星,tshenn,1288,chheⁿ
飛,pue,1258,poe
街,ke,1223,ke
厚,kāu,1200,kāu
刻,khik,1154,khek
雲,hûn,1098,hûn
節,tsat,1067,chat
粗,tshoo,1050,chho͘
闊,khuah,1014,khoah
鹽,iâm,950,iâm
所在,sóo-tsāi,902,só͘-chāi
板,pán,900,pán
曲,khik,878,khek
鹿,lo̍k,800,lo̍k
冰,ping,750,peng
積,tsik,750,chek
腰,io,750,io
霧,bū,750,bū
姓,sènn,682,sèⁿ
了後,liáu-āu,584,liáu-āu
朋友,pîng-iú,574,pêng-iú
揀,kíng,550,kéng
栽,tsai,550,chai
滾,kún,550,kún
酸,sng,550,sng
象,tshiūnn,531,chhiūⁿ
搶,tshiúnn,500,chhiúⁿ
胃,uī,450,ūi
雪,seh,450,seh
老師,lāu-su,394,lāu-su
歕,pûn,350,pûn
犁,lê,350,lê
生活,sing-ua̍h,350,seng-oa̍h
肺,hì,350,hì
輪,lián,350,lián
時間,sî-kan,336,sî-kan
學校,ha̍k-hāu,302,ha̍k-hāu
扇,sìnn,300,sìⁿ
翼,si̍t,300,si̍t
雺,bông,300,bông
講話,kóng-uē,296,kóng-ōe
日頭,ji̍t-thâu,284,ji̍t-thâu
社會,siā-huē,272,siā-hōe
白話字,pe̍h-uē-jī,262,pe̍h-ōe-jī
醋,tshòo,250,chhò͘
乘,sîng,228,sêng
文化,bûn-huà,215,bûn-hòa
道理,tō-lí,212,tō-lí
大聲,tuā-siann,210,tōa-siaⁿ
運動,ūn-tōng,210,ūn-tōng
性命,sènn-miā,209,sèⁿ-miā
撇,phiat,200,phiat
穎,ínn,200,íⁿ
感謝,kám-siā,190,kám-siā
天頂,thinn-tíng,188,thiⁿ-téng
問題,būn-tê,185,būn-tê
月娘,gue̍h-niû,185,goe̍h-niû
多謝,to-siā,172,to-siā
自然,tsū-jiân,162,chū-jiân
注意,tsù-ì,151,chù-ì
兜,tau,150,tau
著,tù,150,tù
環境,khuân-kíng,145,khoân-kéng
以前,í-tsîng,138,í-chêng
聲音,siann-im,134,siaⁿ-im
合,kap,133,kap
結果,kiat-kó,126,kiat-kó
家庭,ka-tîng,125,ka-têng
進前,tsìn-tsîng,123,chìn-chêng
媽祖,má-tsóo,101,má-chó͘
設計,siat-kè,101,siat-kè
馬祖,má-tsóo,101,má-chó͘
作穡,tsoh-sit,100,choh-sit
便所,piān-sóo,100,piān-só͘
停車場,thîng-tshia-tiûnn,100,thêng-chhia-tiûⁿ
傳統,thuân-thóng,100,thoân-thóng
公園,kong-hn̂g,100,kong-hn̂g
參詳,tsham-siông,100,chham-siông
唌,siânn,100,siâⁿ
基督教,ki-tok-kàu,100,ki-tok-kàu
客人,kheh-lâng,100,kheh-lâng
工場,kang-tiûnn,100,kang-tiûⁿ
弦,hiân,100,hiân
性地,sìng-tē,100,sèng-tē
慣勢,kuàn-sì,100,koàn-sì
接受,tsiap-siū,100,chiap-siū
政治,tsìng-tī,100,chèng-tī
教育,kàu-io̍k,100,kàu-io̍k
新聞,sin-bûn,100,sin-bûn
智識,tì-sik,100,tì-sek
東南亞,tang-lâm-a,100,tang-lâm-a
樹仔,tshiū-á,100,chhiū-á
民主,bîn-tsú,100,bîn-chú
法律,huat-lu̍t,100,hoat-lu̍t
現象,hiān-siōng,100,hiān-siōng
症頭,tsìng-thâu,100,chèng-thâu
科技,kho-ki,100,kho-ki
秒,bió,100,bió
稈,kuáinn,100,koáiⁿ
紅燈,âng-ting,100,âng-teng
經驗,king-giām,100,keng-giām
網路,bāng-lōo,100,bāng-lō͘
膋,lâ,100,lâ
英語,ing-gí,100,eng-gí
葉仔,hio̍h-á,100,hio̍h-á
討論,thó-lūn,100,thó-lūn
語言,gí-giân,100,gí-giân
諞,pián,100,pián
速度,sok-tōo,100,sok-tō͘
遊戲,iû-hì,100,iû-hì
野球,iá-kiû,100,iá-kiû
銀行,gîn-hâng,100,gîn-hâng
音樂,im-ga̍k,100,im-ga̍k
