hanzi,tl
110,it it khòng
119,it it kiú
165,it lio̍k ngóo
24小時制,jī-sì sió-sî-tsè jī-tsa̍p-sì sió-sî-tsè
5W1H,gōo-W-tsi̍t-H
AB邊,AB-pinn
a小調音階,a sió-tiāu im-kai
C大調,C tuā-tiāu
電子化世界,tiān-tsú-huà sè-kài
F大調,F tuā-tiāu
G大調音階,G tuā-tiāu im-kai
LED照明,LED tsiò-bîng
N極,N-ki̍k
指北極,tsí-pak-ki̍k
PM2.5,PM jī tiám gōo
S極,S-ki̍k
指南極,tsí-lâm-ki̍k
一年級,it-nî-kip
一年仔,it-nî-á
一年的,it-nî--ê
一位小數,tsi̍t uī sió-sòo
一位數,tsi̍t uī sòo
一府二鹿三艋舺,it Hú jī Lo̍k sann Báng-kah
一街一庄一神社,tsi̍t ke tsi̍t tsng tsi̍t sîn-siā
七律,tshit-lu̍t
九龍公道杯,kiú-liông kong-tō-pue
九龍杯,kiú-liông-pue
二二八事件,Jī-jī-pat Sū-kiānn
二二拍,jī-jī-phik
二十四節氣,jī-tsa̍p sì-tseh-khuì
二分法,jī-hun-huat
二分音符,jī-hun im-hû
二四拍,jī-sù-phik
兩位小數,nn̄g uī sió-sòo
二位數,jī uī sòo
二位數減法,jī uī sòo kiám-huat
人力運輸,jîn-li̍k ūn-su
人口,jîn-kháu
人口政策,jîn-kháu tsìng-tshik
人口密度,jîn-kháu bi̍t-tōo
人口普查,jîn-kháu phóo-tsa
人口調查,jîn-kháu tiâu-tsa
人工生湠技術,jîn-kang senn-thuànn ki-su̍t
人文,jîn-bûn
人物,jîn-bu̍t
人物角色,jîn-bu̍t kak-sik
人造虹,jîn-tsō khīng
人稱,jîn-tshing
人際關係,jîn-tsè kuan-hē
人聲,lâng-siann
人權,jîn-khuân
人權,jîn-kuân
八分音符,peh-hun im-hû
八音,pat-im
八音團,pat-im-thuân
八部合音,peh-pōo ha̍p-im
八堡圳,Pat-pó-tsùn
力,la̍t
力,li̍k
力量,li̍k-liōng
十三行文化,Tsa̍p-sann-hâng bûn-huà
十三行遺址,Tsa̍p-sann-hâng uî-tsí
十大建設,tsa̍p tuā kiàn-siat
十分位,tsa̍p-hun-uī
十位,tsa̍p-uī
十位數字,tsa̍p uī sòo-jī
十進,tsa̍p-tsìn
十進,si̍p-tsìn
十進位法,tsa̍p-tsìn-uī-huat
十進位法,si̍p-tsìn-uī-huat
十萬分位,tsa̍p-bān-hun-uī
十萬位,tsa̍p-bān-uī
十億位,tsa̍p-ik-uī
三八拍,sam-pat-phik
三四拍,sam-sù-phik
三合院,sann-ha̍p-īnn
正身護龍,tsiànn-sin-hōo-lîng
三年級,sann-nî-kip
三年仔,sann-nî-á
三年的,sann-nî--ê
三位數,sann uī sòo
三角形,sann-kak-hîng
三角柱,sann-kak-thiāu
三拍,sann-phik
三貂角,Sam-tiau-kak
三稜鏡,sann-lîng-kiànn
三聲部合唱,sann-siann-pōo ha̍p-tshiùnn
上下文,siōng-hā-bûn
頂下文,tíng-ē-bûn
頂底,tíng-té
頂弦月,tíng-hiân-gue̍h
上長下短,siōng tn̂g hā té
請拳,tshiánn-kûn
上游,siōng-iû
水頭,tsuí-thâu
溪頭,khe-thâu
上短下長,siōng té hā tn̂g
上課,siōng-khò
上籃,tsiūnn-nâ
下底,ē-té
下弦月,hā-hiân-gue̍h
水尾,tsuí-bué
溪尾,khe-bué
下游,hā-iû
下課,hā-khò
千分位,tshian-hun-uī
千位,tshing-uī
千萬位,tshing-bān-uī
千億位,tshing-ik-uī
喙空,tshuì-khang
喙空癌,tshuì-khang-gâm
土地運用,thóo-tē ūn-iōng
土地改革,thóo-tē kái-kik
土地開發,thóo-tē khai-huat
土風舞,thóo-hong-bú
塗條,thôo-tiâu
塗球,thôo-kiû
塗壤,thôo-jióng
塗肉,thôo-bah
大,tuā
大地,tāi-tē
大地景觀,tāi-tē kíng-kuan
大自然,tāi-tsū-jiân
大西洋,Tāi-se-iûnn
大坌坑文化,Tuā-pùn-khenn bûn-huà
大於,tuā-î
大洋洲,Tāi-iûnn-tsiu
透大風,thàu-tuā-hong
大員,Tāi-uân
大家庭,tuā-ka-tîng
大家口,tuā-ke-kháu
大口灶,tuā-kháu-tsàu
大口家,tuā-kháu-ke
大氣,tāi-khì
大氣層,tāi-khì-tsân
大航海時代,Tuā-hâng-hái Sî-tāi
大眾運輸工具,tāi-tsiòng-ūn-su-kang-kū
大眾運輸工具,tāi-tsiòng-ūn-su-kang-khū
大眾運輸系統,tāi-tsiòng ūn-su hē-thóng
大都會區,tuā-too-huē-khu
大陸冷氣團,tāi-lio̍k líng-khì-thuân
大陸島,tāi-lio̍k-tó
大熊座,Tāi-hîm-tsō
大熊座,Tuā-hîm-tsō
大數,tuā-sòo
大篆,tuā-thuàn
大車齒,tuā-tshia-khí
大gí仔,tuā-gí-á
大狗齒仔,tuā-káu-khí-á
大齒輪,tuā-khí-lûn
大聲,tuā-siann
大獵祭,tuā-la̍h-tsè
後代,āu-tāi
後代,hiō-tāi
子房,tsú-pâng
子宮,tsú-kiong
子葉,tsú-hio̍h
細,sè
小,sió
小作家,sió-tsok-ka
小於,sió-î
小朋友,sió-pîng-iú
囡仔兄,gín-á-hiann
囡仔姊,gín-á-tsí
點鐘,tiám-tsing
小時,sió-sî
小琉球,Sió-liû-khiû
小琉球,Sió-liû-kiû
細粒mòo-tah,sè lia̍p mòo-tah
小吹,sió-tshue
bai-óo-lín,bai-óo-lín
小提琴,sió-thê-khîm
小節,sió-tsiat
小喇叭,sió-lá-pah
小熊座,Siáu-hîm-tsō
小熊座,Sió-hîm-tsō
小說,sió-suat
小說,siáu-suat
小說家,sió-suat-ka
小說家,siáu-suat-ka
小數,sió-sòo
小數四則,sió-sòo sì-tsik
小數位數,sió-sòo uī sòo
小數倍,sió-sòo-puē
小數除法,sió-sòo tî-huat
小數點,sió-sòo-tiám
小篆,sió-thuàn
歌仔,kua-á
細車齒,sè-tshia-khí
細gí仔,sè-gí-á
細狗齒仔,sè-káu-khí-á
細齒輪,sè-khí-lûn
小學校,sió-ha̍k-hāu
細聲,sè-siann
小蘇打水,sió-soo-tánn-tsuí
山地,suann-tē
山地,san-tē
山脈,suann-me̍h
山嶺,suann-niá
工作人口,kang-tsok jîn-kháu
工具冊,kang-kū-tsheh
工具冊,kang-khū-tsheh
工商業,kang-siong-gia̍p
工商業社會,kang-siong-gia̍p siā-huē
工業,kang-gia̍p
工業日本、農業臺灣,kang-gia̍p Ji̍t-pún、lông-gia̍p Tâi-uân
工業革命,kang-gia̍p kik-bīng
工業區,kang-gia̍p-khu
干欄式房屋,kan-nuâ-sik pâng-ok
弓步,king-pōo
弓步,kiong-pōo
袂當再生資源,bē-tàng tsài-sing tsu-guân
無完全變態,bô uân-tsuân piàn-thài
不良導體,put-liông tō-thé
無退位,bô-thè-uī
無進位,bô-tsìn-uī
中元,Tiong-guân
七月半,Tshit-gue̍h-puànn
中日戰爭,Tiong-Ji̍t Tsiàn-tsing
中央山脈,Tiong-iong-Suann-me̍h
中央山脈,Tiong-iang-Suann-me̍h
中央政府,tiong-iong tsìng-hú
中央氣象局,Tiong-iong Khì-siōng-kio̍k
中沙群島,Tiong-sua kûn-tó
中性,tiong-sìng
中性水溶液,tiong-sìng tsuí-iông-i̍k
中板,tiong-pán
清法戰爭,Tshing-Huat Tsiàn-tsing
中秋節,Tiong-tshiu-tseh
中秋,Tiong-tshiu
八月節,Peh-gue̍h-tseh
中音域,tiong-im-hi̍k
中音域,tiong-im-i̍k
羅經,lô-kenn
羅針,lô-tsiam
指南針,tsí-lâm-tsiam
子午針,tsú-ngóo-tsiam
中游,tiong-iû
中華文化,Tiong-huâ bûn-huà
中華民國憲法,Tiong-huâ Bîn-kok Hiàn-huat
中醫,tiong-i
漢醫,hàn-i
進前,tsìn-tsîng
以前,í-tsîng
了後,liáu-āu
互生,hōo-sing
互相平行,hōo-siong pîng-hîng
互質,hōo-tsit
五大地形,gōo tuā tē-hîng
五車二,Ngóo-ki-jī
五官,ngóo-kuan
五律,ngóo-lu̍t
五線譜,gōo-suànn-phóo
五聲音階,gōo-siann im-kai
五邊形,gōo-pinn-hîng
內角和,lāi-kak-hô
內容大意,luē-iông-tāi-ì
內容大意,lāi-iông-tāi-ì
內溫動物,lāi-un tōng-bu̍t
公分,kong-hun
厘米,lî-bí
公升,kong-tsin
公尺,kong-tshioh
每分公尺數,muí hun kong-tshioh sòo
每秒公尺數,muí bió kong-tshioh sòo
公斤,kong-kin
公平貿易,kong-pênn bōo-i̍k
公民行動,kong-bîn hîng-tōng
公共事務,kong-kiōng sū-bū
公共設施,kong-kiōng siat-si
公共場所,kong-kiōng tiûnn-sóo
公共資源,kong-kiōng tsu-guân
公共衛生,kong-kiōng-uē-sing
公共衛生,kong-kiōng-uī-sing
公共藝術,kong-kiōng gē-su̍t
公因數,kong-in-sòo
