hanzi,tl,frequency,poj,tl_num,poj_num
點,tiám,7036,tiám,tiam2,tiam2
掠,lia̍h,4324,lia̍h,liah8,liah8
局,kio̍k,2245,kio̍k,kiok8,kiok8
番,huan,2005,hoan,huan,hoan
拖,thua,1704,thoa,thua,thoa
列,lia̍t,1678,lia̍t,liat8,liat8
型,hîng,1100,hêng,hing5,heng5
抾,khioh,900,khioh,khioh,khioh
摃,kòng,300,kòng,kong3,kong3
捲,kńg,250,kńg,kng2,kng2
疊,tha̍h,200,tha̍h,thah8,thah8
揤,tshi̍h,150,chhi̍h,tshih8,chhih8
欄,nuâ,150,nôa,nua5,noa5
櫓,lóo,100,ló͘,loo2,loo2
lóo,lóo,50,ló͘,loo2,loo2
ì,ì,50,ì,i3,i3
埋,tâi,50,tâi,tai5,tai5
獒,ngôo,50,ngô͘,ngoo5,ngoo5
艾,hiānn,50,hiāⁿ,hiann7,hiann7
a-lé,a-lé,25,a-lé,ale2,ale2
bat-tah,bat-tah,25,bat-tah,battah,battah
bàng-gà,bàng-gà,25,bàng-gà,bang3ga3,bang3ga3
bá-tah,bá-tah,25,bá-tah,ba2tah,ba2tah
bé-khòng,bé-khòng,25,bé-khòng,be2khong3,be2khong3
bòo-lù,bòo-lù,25,bò͘-lù,boo3lu3,boo3lu3
há-khih,há-khih,25,há-khih,ha2khih,ha2khih
há-muh,há-muh,25,há-muh,ha2muh,ha2muh
hóo-tok,hóo-tok,25,hó͘-tok,hoo2tok,hoo2tok
ió-gà,ió-gà,25,ió-gà,io2ga3,io2ga3
khiá-tsiah,khiá-tsiah,25,khiá-chiah,khia2tsiah,khia2chiah
khóo-pih,khóo-pih,25,khó͘-pih,khoo2pih,khoo2pih
luī-lóo,luī-lóo,25,lūi-ló͘,lui7loo2,lui7loo2
lài-tooh,lài-tooh,25,lài-to͘h,lai3tooh,lai3tooh
lé-tooh,lé-tooh,25,lé-to͘h,le2tooh,le2tooh
lòo-kerh,lòo-kerh,25,lò͘-kerh,loo3kerh,loo3kerh
lòo-suh,lòo-suh,25,lò͘-suh,loo3suh,loo3suh
lóo-tìng,lóo-tìng,25,ló͘-tèng,loo2ting3,loo2teng3
me-lóng,me-lóng,25,me-lóng,melong2,melong2
mài-khù,mài-khù,25,mài-khù,mai3khu3,mai3khu3
má-tsiah,má-tsiah,25,má-chiah,ma2tsiah,ma2chiah
mî-im,mî-im,25,mî-im,mi5im,mi5im
mù-sìr,mù-sìr,25,mù-sìr,mu3sir3,mu3sir3
ok-sái,ok-sái,25,ok-sái,oksai2,oksai2
phit-tsiah,phit-tsiah,25,phit-chiah,phittsiah,phitchiah
phi̋n-phóng,phi̋n-phóng,25,phĭn-phóng,phinphong2,phin9phong2
phòng-phuh,phòng-phuh,25,phòng-phuh,phong3phuh,phong3phuh
sa̋n-sín,sa̋n-sín,25,săn-sín,sansin2,san9sin2
siàn-tah,siàn-tah,25,siàn-tah,sian3tah,sian3tah
siáu-uah,siáu-uah,25,siáu-oah,siau2uah,siau2oah
siò-tooh,siò-tooh,25,siò-to͘h,sio3tooh,sio3tooh
sà-tooh,sà-tooh,25,sà-to͘h,sa3tooh,sa3tooh
thiàn-tòo,thiàn-tòo,25,thiàn-tò͘,thian3too3,thian3too3
tshì-sìr,tshì-sìr,25,chhì-sìr,tshi3sir3,chhi3sir3
tshì-sù,tshì-sù,25,chhì-sù,tshi3su3,chhi3su3
táng-lóo,táng-lóo,25,táng-ló͘,tang2loo2,tang2loo2
tōo-né,tōo-né,25,tō͘-né,too7ne2,too7ne2
uá-hòo,uá-hòo,25,óa-hò͘,ua2hoo3,oa2hoo3
䖙捒,the-sak,25,the-sak,thesak,thesak
一勝,it-sìng,25,it-sèng,itsing3,itseng3
三殺,sann-sat,25,saⁿ-sat,sannsat,sannsat
上壘,tsiūnn-luí,25,chiūⁿ-lúi,tsiunn7lui2,chiunn7lui2
上籃,tsiūnn-nâ,25,chiūⁿ-nâ,tsiunn7na5,chiunn7na5
下載,hā-tsài,25,hā-chài,ha7tsai3,ha7chai3
並枕,phīng-tsím,25,phēng-chím,phing7tsim2,pheng7chim2
中人,tiong-lâng,25,tiong-lâng,tionglang5,tionglang5
中場,tiong-tiûnn,25,tiong-tiûⁿ,tiongtiunn5,tiongtiunn5
中子,tiong-jí,25,tiong-jí,tiongji2,tiongji2
中子,tiong-lí,25,tiong-lí,tiongli2,tiongli2
中線,tiong-suànn,25,tiong-sòaⁿ,tiongsuann3,tiongsoann3
中鋒,tiong-hong,25,tiong-hong,tionghong,tionghong
乳液,jú-i̍k,25,jú-e̍k,ju2ik8,ju2ek8
乳液,lú-i̍k,25,lú-e̍k,lu2ik8,lu2ek8
人熊,lâng-hîm,25,lâng-hîm,lang5him5,lang5him5
人陣,lâng-tīn,25,lâng-tīn,lang5tin7,lang5tin7
介面,kài-bīn,25,kài-bīn,kai3bin7,kai3bin7
仙楂,sian-tsa,25,sian-cha,siantsa,siancha
侵蝕,tshim-si̍t,25,chhim-si̍t,tshimsit8,chhimsit8
俗麭,sio̍k-pháng,25,sio̍k-pháng,siok8phang2,siok8phang2
保溼,pó-sip,25,pó-sip,po2sip,po2sip
保送,pó-sàng,25,pó-sàng,po2sang3,po2sang3
修容,siu-iông,25,siu-iông,siuiong5,siuiong5
倒子,tò-jí,25,tò-jí,to3ji2,to3ji2
倒子,tò-lí,25,tò-lí,to3li2,to3li2
倫敦,lûn-tun,25,lûn-tun,lun5tun,lun5tun
健力,kiān-li̍k,25,kiān-le̍k,kian7lik8,kian7lek8
健美,kiān-bí,25,kiān-bí,kian7bi2,kian7bi2
偶像,ngóo-siōng,25,ngó͘-siōng,ngoo2siong7,ngoo2siong7
備份,pī-hūn,25,pī-hūn,pi7hun7,pi7hun7
傭兵,iông-ping,25,iông-peng,iong5ping,iong5peng
優格,iu-keh,25,iu-keh,iukeh,iukeh
光面,kng-bīn,25,kng-bīn,kngbin7,kngbin7
入數,ji̍p-siàu,25,ji̍p-siàu,jip8siau3,jip8siau3
入數,li̍p-siàu,25,li̍p-siàu,lip8siau3,lip8siau3
內建,luē-kiàn,25,lōe-kiàn,lue7kian3,loe7kian3
內文,lāi-bûn,25,lāi-bûn,lai7bun5,lai7bun5
內野,lāi-iá,25,lāi-iá,lai7ia2,lai7ia2
全妝,tsuân-tsong,25,choân-chong,tsuan5tsong,choan5chong
全馬,tsuân-má,25,choân-má,tsuan5ma2,choan5ma2
全麥,tsuân-be̍h,25,choân-be̍h,tsuan5beh8,choan5beh8
八角,peh-kak,25,peh-kak,pehkak,pehkak
八角,pueh-kak,25,poeh-kak,puehkak,poehkak
公論,kong-lūn,25,kong-lūn,konglun7,konglun7
冊迷,tsheh-bê,25,chheh-bê,tshehbe5,chhehbe5
冰壺,ping-ôo,25,peng-ô͘,pingoo5,pengoo5
冰沙,ping-sua,25,peng-soa,pingsua,pengsoa
冰磚,ping-tsng,25,peng-chng,pingtsng,pengchng
冰糖,ping-thn̂g,25,peng-thn̂g,pingthng5,pengthng5
冷麵,líng-mī,25,léng-mī,ling2mi7,leng2mi7
凝霜,gîng-song,25,gêng-song,ging5song,geng5song
凝露,gîng-lōo,25,gêng-lō͘,ging5loo7,geng5loo7
刀術,to-su̍t,25,to-su̍t,tosut8,tosut8
分道,pun-tō,25,pun-tō,punto7,punto7
分頁,hun-ia̍h,25,hun-ia̍h,huniah8,huniah8
划船,kò-tsûn,25,kò-chûn,ko3tsun5,ko3chun5
刣掉,thâi-tiāu,25,thâi-tiāu,thai5tiau7,thai5tiau7
利劍,lāi-kiàm,25,lāi-kiàm,lai7kiam3,lai7kiam3
刪除,san-tî,25,san-tî,santi5,santi5
刪除,san-tû,25,san-tû,santu5,santu5
制衡,tsè-hîng,25,chè-hêng,tse3hing5,che3heng5
剪接,tsián-tsiap,25,chián-chiap,tsian2tsiap,chian2chiap
剪輯,tsián-tsi̍p,25,chián-chi̍p,tsian2tsip8,chian2chip8
